iteration,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score
183,90,90,100,80,90,70,100,60,110,70,100,80,90,90,80,80,90,70,100,60
184,110,90,100,80,90,70,80,80,70,90,60,80,50,90,40,100,30,90,20,80
185,90,90,80,80,90,70,100,80,90,90,80,80,70,90,60,100,50,90,60,80
186,90,90,100,80,90,90,80,80,70,90,80,100,70,90,60,80,70,70,60,80
187,110,90,100,80,110,70,120,60,130,70,120,80,130,70,120,80,130,70,120,60
188,90,110,100,120,90,110,100,120,90,110,100,100,90,90,80,100,90,110,80,120
189,110,90,100,100,90,110,80,100,90,110,100,100,110,110,100,100,90,110,100,120
190,90,110,100,100,110,110,100,100,110,110,100,100,90,90,80,80,90,90,80,80
191,90,90,100,80,90,70,80,60,90,70,100,60,110,50,100,40,90,30,80,20
192,110,110,120,120,130,110,120,120,130,110,120,100,130,90,120,100,130,90,140,100
193,110,90,120,80,130,90,140,80,130,70,140,60,130,70,140,60,130,70,140,60
194,90,110,80,100,90,90,80,80,70,90,60,100,70,110,80,100,70,90,60,100
195,110,90,100,80,90,90,80,80,70,90,60,80,50,90,60,80,70,70,60,60
196,90,90,80,100,70,110,60,120,50,110,40,120,30,110,20,100,10,90,0,80
197,90,90,80,80,70,90,60,80,50,70,40,80,30,70,20,80,30,70,20,60
198,90,110,80,100,90,90,80,100,70,90,60,100,70,90,80,100,90,90,80,80
199,110,110,100,100,90,90,80,80,70,70,60,60,50,50,60,60,50,50,40,40
200,90,90,100,80,90,70,80,60,90,50,100,40,110,30,100,20,110,30,100,20
201,110,90,100,80,110,70,120,60,110,50,100,40,90,30,100,40,110,30,120,20
202,90,110,80,100,90,90,80,80,70,70,80,60,90,50,100,60,90,50,80,60
203,90,110,80,120,70,110,80,100,70,110,60,100,50,110,40,100,30,90,40,80
204,90,90,80,80,90,70,80,60,90,70,80,60,70,50,80,60,70,50,60,60
205,110,110,120,100,130,90,120,100,110,90,100,80,110,70,100,60,110,50,100,40
206,90,90,100,80,90,90,80,100,70,90,60,100,70,110,60,120,50,110,60,100
207,90,90,80,80,70,70,60,60,50,50,60,40,50,30,60,20,50,10,40,0
208,90,90,100,80,110,90,100,80,90,70,100,60,90,50,100,60,90,70,80,60
209,110,90,120,80,110,70,100,80,90,70,80,60,70,50,60,60,50,50,40,40
210,110,90,100,80,90,90,80,80,70,90,80,80,90,70,100,80,110,70,100,80
211,90,110,80,120,90,110,80,120,70,130,60,120,50,130,40,140,30,130,20,120
212,110,110,100,100,90,90,80,80,70,70,80,60,70,70,60,60,50,50,40,40
213,110,90,100,100,90,90,80,80,70,90,80,100,70,90,60,80,70,90,60,80
214,90,90,80,100,70,90,60,100,50,90,40,80,30,90,20,80,10,70,0,80
215,110,90,120,100,110,90,100,80,110,70,100,60,110,70,100,60,110,70,120,60
216,90,90,100,100,90,110,80,100,70,90,60,80,50,70,40,60,30,50,40,40
217,90,90,100,100,90,110,80,100,90,90,80,80,90,90,80,100,70,90,60,100
218,90,90,80,80,70,70,60,60,50,50,40,40,30,30,20,40,10,30,0,20
219,110,90,100,80,90,70,80,60,70,50,60,40,50,30,40,20,50,30,60,20
220,90,90,80,80,70,70,80,80,70,70,60,80,70,70,60,60,50,50,40,40
221,90,90,80,80,70,70,60,80,50,90,40,100,50,110,40,100,30,90,40,80
222,90,90,100,80,90,70,100,80,110,90,120,80,130,70,120,60,130,50,120,40
223,90,110,80,120,70,110,60,100,50,90,40,80,50,70,40,60,30,50,40,60
224,90,110,100,120,90,130,80,140,90,150,80,140,90,130,80,120,90,110,80,120
225,110,90,120,80,130,70,120,60,110,50,100,40,90,30,80,20,70,10,80,0
226,90,90,80,80,70,90,80,80,90,70,100,80,90,70,80,60,90,50,80,60
227,90,110,80,120,70,110,60,100,50,90,40,80,30,90,40,100,50,90,40,100
228,90,110,80,100,70,90,80,80,70,70,60,80,70,90,60,100,50,90,40,80
229,90,110,100,100,90,110,100,120,90,110,80,100,70,110,60,120,50,130,40,140
230,110,110,100,100,110,110,120,100,110,90,100,80,110,90,120,80,110,70,100,80
231,90,110,100,120,90,130,80,140,70,130,80,120,70,130,80,120,70,110,80,100
232,90,90,100,100,90,90,80,80,70,70,60,60,70,50,60,40,50,30,40,40
233,90,90,80,100,70,90,60,100,50,90,40,80,30,90,20,100,10,90,0,80
234,110,90,100,80,110,90,100,80,110,70,100,60,90,50,80,40,90,30,80,20
235,90,90,100,80,90,90,100,80,90,90,80,80,90,90,100,80,90,90,80,100
236,90,90,100,80,110,70,100,60,90,70,80,60,70,50,60,40,70,30,80,20
237,110,90,100,80,110,90,100,80,110,70,100,60,90,70,80,60,70,50,60,60
238,110,90,120,80,130,90,140,80,130,90,120,80,110,70,120,60,130,70,120,80
239,90,110,80,120,90,110,100,120,110,110,100,100,110,90,100,100,90,110,80,120
240,90,90,80,80,70,90,60,100,70,90,80,100,90,110,80,100,90,90,80,100
241,90,90,80,80,90,90,100,80,90,70,80,60,90,50,100,40,110,30,120,20
242,90,90,80,80,70,70,60,60,70,70,80,80,90,90,80,80,70,90,60,100
243,90,110,80,120,70,110,60,120,70,130,80,120,90,110,80,120,70,110,60,100
244,90,90,80,80,70,90,80,80,90,70,80,80,90,90,80,80,70,90,80,80
245,110,90,120,100,130,110,120,120,130,110,120,100,110,110,100,100,90,90,80,100
246,90,110,100,120,90,130,100,140,90,130,80,140,90,130,80,140,70,150,60,160
247,110,110,100,100,90,90,100,100,90,90,80,80,70,70,60,80,50,90,40,80
248,90,90,80,100,90,90,100,80,90,70,80,60,70,70,60,80,50,70,60,80
249,90,90,100,80,110,70,100,60,110,70,100,60,90,50,80,40,90,30,80,20
250,90,110,100,100,90,110,80,120,70,130,60,120,50,130,40,120,30,110,40,100
251,90,90,100,80,90,70,80,60,70,50,60,40,50,30,60,20,50,10,60,20
252,90,90,80,80,90,90,80,80,70,90,60,80,50,90,40,80,30,70,20,60
253,90,110,80,100,70,90,80,80,90,90,80,80,70,70,60,80,50,70,40,60
254,110,90,120,80,110,70,100,80,90,70,80,80,70,70,60,60,50,50,40,40
255,90,90,80,80,90,70,80,80,70,90,80,80,70,90,60,80,50,70,40,80
256,110,110,100,120,90,130,80,120,70,110,80,100,90,110,80,100,70,90,60,80
257,90,90,100,80,90,70,80,60,70,50,80,40,70,50,60,60,70,50,60,40
258,90,110,80,100,70,110,80,100,90,90,80,80,90,70,100,60,110,50,120,40
259,90,90,80,80,90,70,80,60,70,50,60,40,50,30,40,20,30,10,20,0
260,90,90,80,80,70,90,60,80,50,70,40,60,30,50,20,60,30,50,20,40
261,90,90,80,80,70,70,60,60,50,50,40,40,50,50,60,40,50,50,60,40
262,90,90,80,80,70,70,80,80,70,70,80,80,70,70,60,60,50,70,40,80
263,90,110,80,100,70,90,60,100,50,90,40,100,30,110,20,100,10,90,0,100
264,90,90,80,80,70,70,80,80,70,70,80,60,70,50,60,40,50,30,40,20
265,110,90,120,100,110,110,100,100,90,110,100,100,90,90,100,80,90,70,100,80
266,90,110,80,100,90,90,80,100,90,90,80,100,70,90,60,100,50,90,40,80
267,110,90,120,80,110,70,100,80,110,90,100,100,110,90,120,100,110,90,100,100
268,90,110,80,100,70,110,60,100,50,90,40,80,50,70,40,60,30,50,20,40
269,90,90,80,80,90,70,80,60,90,70,100,80,90,70,80,60,70,70,80,80
270,110,90,120,100,110,90,100,100,90,90,100,80,110,90,100,80,90,70,80,60
271,90,90,80,100,70,90,60,80,50,90,40,80,50,90,60,80,50,70,40,80
272,90,110,80,100,90,90,80,80,70,70,60,60,50,70,40,60,50,50,60,40
273,90,90,80,80,70,70,60,60,50,70,60,60,50,50,40,40,30,50,20,60
274,110,90,100,100,110,90,120,100,110,90,100,100,90,90,80,80,90,70,80,60
275,90,90,100,80,110,70,100,80,90,70,80,80,90,70,80,60,70,50,80,40
276,90,110,100,100,90,90,80,80,70,70,60,60,50,50,40,40,30,30,20,40
277,110,90,120,80,110,90,100,100,90,110,80,120,70,130,60,140,70,130,80,140
278,90,90,80,80,90,70,80,60,70,50,60,40,50,50,40,40,30,30,20,20
279,90,110,80,100,90,110,80,120,90,110,80,100,70,110,80,100,90,90,80,80
280,110,110,100,120,90,130,80,140,90,130,100,140,110,130,100,120,90,110,100,100
281,110,90,120,80,110,70,120,80,110,70,120,60,130,50,120,60,110,70,120,60
282,90,90,80,80,90,70,100,80,90,70,100,80,110,90,100,100,90,110,80,120
283,90,90,100,100,90,110,80,120,90,130,80,120,70,130,80,140,90,130,100,120
284,90,90,80,80,70,70,80,60,70,50,60,40,50,30,60,40,50,50,40,60
285,110,110,120,100,110,110,120,100,110,90,100,100,90,110,100,120,90,110,100,100
286,110,90,100,80,110,70,100,60,90,50,80,60,70,50,60,40,50,30,40,20
287,90,90,80,80,90,90,80,100,70,90,60,80,50,90,40,80,30,90,20,80
288,90,90,80,80,70,70,60,80,50,70,40,80,30,90,20,100,10,90,20,100
289,110,90,100,100,90,110,80,100,90,90,100,80,90,70,80,60,70,50,60,60
290,90,90,80,80,90,70,100,60,110,50,120,40,130,30,120,20,130,10,120,0
291,90,110,100,100,90,110,80,120,70,110,60,120,70,130,60,120,50,130,40,120
292,110,90,120,80,110,70,100,60,110,50,120,60,110,50,100,60,90,50,80,40
293,90,90,80,80,70,90,60,100,70,90,80,80,90,70,100,80,110,90,120,100
294,90,90,80,80,90,70,80,60,70,50,80,40,70,30,60,20,50,30,60,20
295,90,90,80,100,70,90,60,80,50,70,40,60,50,70,40,60,50,70,40,60
296,90,110,80,100,70,110,80,120,70,130,60,120,50,130,40,140,30,150,20,140
297,90,90,100,80,90,90,80,100,70,90,60,100,50,90,60,100,50,90,40,80
298,90,110,100,120,90,110,100,100,90,110,100,100,90,90,100,100,90,90,100,80
299,110,110,100,100,90,110,80,100,70,110,60,100,50,110,40,100,30,90,40,80
300,90,110,80,120,70,110,80,100,90,90,100,80,90,70,80,60,90,50,100,40
301,110,90,100,80,110,70,120,60,110,50,100,60,90,70,80,80,90,70,80,60
302,90,110,100,120,90,110,80,100,70,110,80,120,70,130,60,140,50,130,40,140
303,90,90,80,80,70,70,60,60,70,50,60,40,70,30,60,20,70,10,80,0
304,90,90,80,80,90,90,80,100,70,110,60,100,50,90,60,80,50,70,40,80
305,110,110,100,100,110,90,100,100,90,90,100,80,90,70,100,60,90,50,80,60
306,90,90,100,80,110,70,100,60,90,70,80,60,70,50,80,60,70,50,60,40
307,110,110,120,120,110,110,100,100,90,90,100,80,110,70,100,80,90,70,80,60
308,90,110,80,100,90,90,80,100,70,110,60,120,70,130,60,120,50,130,60,120
309,90,90,80,100,90,90,100,80,110,70,100,60,90,50,80,40,70,50,80,40
310,90,90,80,100,70,90,60,80,70,90,80,100,70,110,60,100,50,110,60,100
311,90,110,80,100,70,110,60,100,50,110,40,100,30,110,20,120,10,110,20,120
312,110,90,100,80,90,90,80,100,70,90,60,80,70,90,60,80,50,70,60,80
313,90,110,100,120,90,110,80,100,70,90,60,80,70,70,80,60,70,70,80,60
314,90,110,80,120,70,110,80,120,70,110,60,120,50,130,40,140,30,130,20,120
315,110,90,100,80,90,90,80,100,70,90,80,80,70,70,80,60,70,50,60,60
316,90,110,100,120,110,110,100,100,90,90,100,80,90,70,80,60,70,50,60,40
317,90,90,80,80,90,70,80,60,70,50,60,60,50,70,40,80,50,90,40,100
318,90,90,80,80,90,70,80,60,70,70,60,60,50,70,60,60,50,50,60,40
319,90,90,80,100,90,90,100,80,90,90,100,100,90,90,80,100,70,90,80,80
320,110,90,100,100,90,110,80,120,70,110,60,100,50,90,60,100,50,90,40,80
321,90,110,80,100,70,110,80,100,70,90,60,100,50,90,40,100,30,90,20,80
322,90,90,80,80,70,90,60,100,70,110,60,120,70,110,60,100,50,90,40,80
323,90,90,80,80,70,90,60,80,50,90,40,80,50,70,40,80,30,70,40,60
324,90,110,80,120,70,110,60,120,50,110,40,120,30,110,20,120,10,110,20,100
